goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number 3bee68cb,T #1,fire_team_b,manoeuvre,false,n6,n1,type_b,2,104293,104372,284913,2,4,0,SwitchMode1,2,n_a
Goal number 3bee68cb,T #2,fire_team_b,manoeuvre,false,n5,n3,type_b,1,28629,133064,284913,2,4,0,SwitchMode1,2,n_a
Goal number 3bee68cb,T #3,fire_team_b,manoeuvre,false,n4,n3,type_b,2,11477,144620,284913,2,4,0,SwitchMode1,2,n_a
Goal number 3bee68cb,T #4,fire_team_b,manoeuvre,false,n6,n6,type_b,2,52879,197576,284913,2,4,0,SwitchMode1,2,n_a
Goal number 3bee68cb,T #5,fire_team_b,manoeuvre,false,n6,n6,type_a,1,30478,228102,284913,2,4,0,SwitchMode1,2,n_a
Goal number 3bee68cb,T #6,fire_team_b,manoeuvre,false,n6,n4,type_a,1,56715,284867,284913,2,4,0,SwitchMode1,2,n_a
Goal number 3d41497e,T #1,fire_team_a,manoeuvre,false,n1,n3,type_a,1,10318,10387,390503,3,1,2,SwitchMode1,2,n_a
Goal number 3d41497e,T #2,fire_team_a,manoeuvre,false,n3,n6,type_a,3,30577,41056,390503,3,1,2,SwitchMode1,2,n_a
Goal number 3d41497e,T #3,fire_team_b,manoeuvre,false,n5,n4,type_b,2,55631,96744,390503,3,1,2,SwitchMode1,2,n_a
Goal number 3d41497e,T #4,fire_team_b,manoeuvre,false,n4,n6,type_c,3,198999,295882,390503,3,1,2,SwitchMode1,2,n_a
Goal number 3d41497e,T #5,fire_team_b,manoeuvre,false,n4,n4,type_a,3,65558,361496,390503,3,1,2,SwitchMode1,2,n_a
Goal number 3d41497e,T #6,fire_team_b,manoeuvre,false,n6,n4,type_c,2,28923,390455,390503,3,1,2,SwitchMode1,2,n_a
Goal number e596e775,T #1,fire_team_b,manoeuvre,false,n5,n1,type_a,3,79649,79726,283742,2,2,2,SwitchMode1,2,n_a
Goal number e596e775,T #2,fire_team_b,manoeuvre,false,n5,n3,type_c,2,20351,100138,283742,2,2,2,SwitchMode1,2,n_a
Goal number e596e775,T #3,fire_team_b,manoeuvre,false,n4,n4,type_c,1,35435,135626,283742,2,2,2,SwitchMode1,2,n_a
Goal number e596e775,T #4,fire_team_b,manoeuvre,false,n6,n1,type_b,3,57894,193592,283742,2,2,2,SwitchMode1,2,n_a
Goal number e596e775,T #5,fire_team_b,manoeuvre,false,n5,n4,type_a,1,16759,210421,283742,2,2,2,SwitchMode1,2,n_a
Goal number e596e775,T #6,fire_team_b,manoeuvre,false,n5,n4,type_b,3,73126,283610,283742,2,2,2,SwitchMode1,2,n_a
Goal number 32d24fd7,T #1,fire_team_b,manoeuvre,false,n4,n4,type_c,2,12516,12591,288265,2,2,2,SwitchMode1,2,n_a
Goal number 32d24fd7,T #2,fire_team_b,manoeuvre,false,n5,n5,type_b,2,10735,23388,288265,2,2,2,SwitchMode1,2,n_a
Goal number 32d24fd7,T #3,fire_team_b,manoeuvre,false,n4,n2,type_a,2,187275,210717,288265,2,2,2,SwitchMode1,2,n_a
Goal number 32d24fd7,T #4,fire_team_b,manoeuvre,false,n6,n2,type_c,3,17425,228193,288265,2,2,2,SwitchMode1,2,n_a
Goal number 32d24fd7,T #5,fire_team_b,manoeuvre,false,n5,n4,type_a,2,38870,267116,288265,2,2,2,SwitchMode1,2,n_a
Goal number 32d24fd7,T #6,fire_team_b,manoeuvre,false,n4,n3,type_b,2,21066,288232,288265,2,2,2,SwitchMode1,2,n_a
Goal number f6b82573,T #1,fire_team_b,manoeuvre,false,n4,n5,type_a,1,15183,15256,333351,3,0,3,SwitchMode1,2,n_a
Goal number f6b82573,T #2,fire_team_b,manoeuvre,false,n6,n3,type_a,3,79920,95226,333351,3,0,3,SwitchMode1,2,n_a
Goal number f6b82573,T #3,fire_team_b,manoeuvre,false,n6,n5,type_c,3,69406,164688,333351,3,0,3,SwitchMode1,2,n_a
Goal number f6b82573,T #4,fire_team_b,manoeuvre,false,n5,n5,type_a,1,77732,242499,333351,3,0,3,SwitchMode1,2,n_a
Goal number f6b82573,T #5,fire_team_b,manoeuvre,false,n5,n5,type_c,1,72940,315495,333351,3,0,3,SwitchMode1,2,n_a
Goal number f6b82573,T #6,fire_team_b,manoeuvre,false,n6,n2,type_c,2,17774,333317,333351,3,0,3,SwitchMode1,2,n_a
Goal number 22e0ae54,T #1,fire_team_b,manoeuvre,false,n5,n1,type_c,3,159699,159780,296164,1,1,4,SwitchMode1,2,n_a
Goal number 22e0ae54,T #2,fire_team_b,manoeuvre,false,n6,n1,type_c,2,16639,176484,296164,1,1,4,SwitchMode1,2,n_a
Goal number 22e0ae54,T #3,fire_team_b,manoeuvre,false,n4,n5,type_c,1,14897,191426,296164,1,1,4,SwitchMode1,2,n_a
Goal number 22e0ae54,T #4,fire_team_b,manoeuvre,false,n4,n3,type_a,3,90716,282190,296164,1,1,4,SwitchMode1,2,n_a
Goal number 22e0ae54,T #5,fire_team_b,manoeuvre,false,n5,n5,type_b,2,8473,290703,296164,1,1,4,SwitchMode1,2,n_a
Goal number 22e0ae54,T #6,fire_team_b,manoeuvre,false,n5,n2,type_c,1,5346,296111,296164,1,1,4,SwitchMode1,2,n_a
Goal number 530ce59d,T #1,fire_team_b,manoeuvre,false,n6,n4,type_c,2,130409,130467,273257,1,2,3,SwitchMode1,2,n_a
Goal number 530ce59d,T #2,fire_team_b,manoeuvre,false,n6,n6,type_c,2,40947,171470,273257,1,2,3,SwitchMode1,2,n_a
Goal number 530ce59d,T #3,fire_team_b,manoeuvre,false,n6,n5,type_a,2,46340,217867,273257,1,2,3,SwitchMode1,2,n_a
Goal number 530ce59d,T #4,fire_team_b,manoeuvre,false,n4,n4,type_c,1,44403,262317,273257,1,2,3,SwitchMode1,2,n_a
Goal number 530ce59d,T #5,fire_team_b,manoeuvre,false,n6,n3,type_b,1,3668,266038,273257,1,2,3,SwitchMode1,2,n_a
Goal number 530ce59d,T #6,fire_team_b,manoeuvre,false,n4,n6,type_b,2,6965,273127,273257,1,2,3,SwitchMode1,2,n_a
Goal number f34f40df,T #1,fire_team_a,manoeuvre,false,n3,n1,type_c,1,5271,5326,43201,1,3,2,SwitchMode1,1,n_a
Goal number f34f40df,T #2,fire_team_a,manoeuvre,false,n3,n5,type_c,3,15730,21118,43201,1,3,2,SwitchMode1,1,n_a
Goal number f34f40df,T #3,fire_team_a,manoeuvre,false,n3,n6,type_b,1,3897,25072,43201,1,3,2,SwitchMode1,1,n_a
Goal number f34f40df,T #4,fire_team_a,manoeuvre,false,n1,n6,type_b,1,3757,28894,43201,1,3,2,SwitchMode1,1,n_a
Goal number f34f40df,T #5,fire_team_a,manoeuvre,false,n3,n4,type_a,1,10481,39444,43201,1,3,2,SwitchMode1,1,n_a
